Language Name	lang	porn	text artifacts	unnatural	lang incorrect
Asturian	ast_Latn	0-1	2-9	2-8	19-31
Bosnian	bos_Latn	0-0	52-62	3-8	66-75
Catalan	cat_Latn	0-1	0-3	0-1	0-2
Chinese	cmn_Hans	0-3	0-5	2-8	0-2
Croatian	hrv_Latn	0-2	42-52	7-14	6-12
Czech	ces_Latn	0-1	4-7	24-30	0-1
English	eng_Latn	0-2	29-43	0-5	0-1
Finnish	fin_Latn	2-4	15-20	7-11	0-0
French	fra_Latn	0-4	13-23	10-21	0-1
Galician	glg_Latn	0-1	4-11	0-5	0-3
German	deu_Latn	0-1	0-3	5-13	0-1
Hindi	hin_Deva	0-1	20-33	1-6	0-4
Iranian Persian	pes_Arab	0-1	35-45	8-15	1-4
Italian	ita_Latn	0-4	4-11	5-14	0-2
Japanese	jpn_Jpan	0-2	47-61	13-23	0-1
Modern Greek (1453-)	ell_Grek	0-1	31-37	2-5	0-1
Norwegian Bokmål	nob_Latn	2-7	12-20	2-7	0-3
Portuguese	por_Latn	0-2	30-44	4-11	0-3
Russian	rus_Cyrl	0-1	4-9	2-5	0-1
Serbian	srp_Cyrl	0-6	48-75	6-27	0-6
Slovak	slk_Latn	0-0	11-19	4-9	0-2
Spanish	spa_Latn	0-1	15-23	5-10	0-1
Yoruba	yor_Latn	0-3	7-16	0-5	4-11
